group,scenario,Local Vol,Heston,LSV,Local Vol_se,Heston_se,LSV_se,spread_bp,Local Vol_duration,Heston_duration,LSV_duration,Local Vol_delta,Heston_delta,LSV_delta,Local Vol_gamma,Heston_gamma,LSV_gamma,Local Vol_vega,Heston_vega,LSV_vega,Local Vol_vanna,Heston_vanna,LSV_vanna,Local Vol_skew_sens,Heston_skew_sens,LSV_skew_sens
market,Base case,1.050937760039533,1.0525225910808331,1.053588406177048,0.001042035027804298,0.0009812995288341567,0.0009390844598820336,26.51,0.6207,0.6223,0.6145,0.0005219435519323579,0.0007754782771566271,0.0004440980778176451,0.0022221604838330578,6.529869772875507e-05,0.0017424913103385453,-0.002119404768943234,-0.0029307282063362194,-0.002317288073043766,-0.08341992688248867,-0.16402878955612543,0.020692749351458595,0.0004057819560391307,0.0009065923362451267,0.0003278084936675363
market,High vol,1.0335156668634033,1.0382936711484052,1.0405279102844989,0.001816192162958721,0.0016649936057782473,0.0016447887742924306,70.12,0.7466,0.7481,0.7428,0.0020964733749911924,0.0015155442409554576,0.0011086807520443998,-0.0045629636220623215,-0.006013466095501796,-0.005454647163610993,-0.003178533193521904,-0.005854419115031151,-0.003080039203144924,0.08711963081631247,0.16462963030811073,-0.050578077993079784,0.00047652973925849107,0.001443495608915435,0.0011331615227602176
market,Low vol,1.0545654976860022,1.0543089160468317,1.0542738022062095,0.0005762884339293771,0.000594739077194494,0.0005637156875142966,2.92,0.5491,0.5537,0.5474,-0.00025054115900247087,-0.00041481711941149246,-0.0004703340409970558,0.0002693944241645152,0.001227204722636932,0.001808902266192458,0.0008835265607742837,0.0005291991037958965,0.0014586185971676713,-0.03410361349942548,0.029315995755785362,-0.02587085458827243,0.00012972075710937503,8.310738348615843e-07,-8.60012747239125e-07
market,Steep skew,1.0448105466753903,1.0496957181039848,1.047662760224714,0.0013726909184118923,0.0010126106776240766,0.0012211920433033122,48.85,0.6378,0.6011,0.6352,0.0012837450277018991,0.00038865022737377686,0.0004310333030533853,0.000490132765411655,0.0008370028480206848,0.00010953137479563502,-0.000654245642809359,0.0,0.00020433475601988604,-0.11533015007997305,0.0,-0.15617559852953988,0.0007081564819625408,1.1473321634980493e-06,0.0007277028785246387
market,Flat skew,1.054447396920478,1.0549283354978896,1.0554479782000552,0.0008120959469061275,0.0008039637616685625,0.0007908701367284319,10.01,0.6009,0.6025,0.6026,-0.00044498445749596716,6.975491701832759e-05,3.080785490139348e-05,0.0024789943925516145,-0.0014194151868642813,-0.0020203280555604053,0.0019529293424436212,0.0006199569152953721,-0.0004616409494340168,-0.09352876540608124,-0.028179013419060706,-0.09710038772681173,3.4931757170619804e-05,-0.00036920080806157607,-0.0004277887986727791
market,Inverted term structure,1.047401153889375,1.0478250480873463,1.0500107520661088,0.0011544741307387785,0.0010455731947870974,0.0009607404998617487,26.1,0.5829,0.5936,0.5859,0.0009829908277532162,0.0008938979820102277,0.0004529406794732127,0.0046587809000775415,0.002844024021803504,0.0022719804299333735,-0.00319334058701104,-8.039080512389774e-08,0.0003928031470179505,-0.013568312487666212,1.0024727714608161e-06,0.041012720596089736,0.0006720840117727667,-7.292011150461519e-08,0.0004376313060667769
product,ATM autocall barrier,1.0247079065035714,1.028440758569618,1.0296993730151975,0.0018720319732369616,0.0017103171548203972,0.0017430029257703833,49.91,1.3188,1.2746,1.2924,0.002119977088270386,0.0013504587113630784,0.0012094782518092817,-0.005828465714937225,-0.008227681989221747,-0.008365769470748852,-0.005436066376472981,-0.003947454940557149,-0.0058280614148542575,-0.13519325958533113,-0.1251123887134331,-0.14688073557483916,0.0005532823344389648,0.0011366631708943364,0.0006444137034404829
product,Deep step-down barrier,1.0485067301035715,1.0533237608792794,1.0553052418002542,0.0015614169992731743,0.0014068874798699998,0.0013964920423462331,67.99,0.842,0.8356,0.834,0.0009310058752223238,0.00010636719501033731,0.00026730910761552096,-0.00177302601544449,-0.006530944019029317,-0.006330422372633926,-0.0048059713455028685,-0.005098416666073913,-0.003893383833026842,-0.09042669719749874,-0.14517124016238947,-0.12189332445144974,0.0007868862868533055,0.00041457239803088797,0.0005507889212860162
product,Tight KI barrier,1.050937760039533,1.0525225910808331,1.053588406177048,0.001042035027804298,0.0009812995288341567,0.0009390844598820336,26.51,0.6207,0.6223,0.6145,0.0005219435519323579,0.0007754782771566271,0.0004440980778176451,0.0022221604838330578,6.529869772875507e-05,0.0017424913103385453,-0.002119404768943234,-0.0029307282063362194,-0.002317288073043766,-0.08341992688248867,-0.16402878955612543,0.020692749351458595,0.0004057819560391307,0.0009065923362451267,0.0003278084936675363
product,No KI (capital protected),1.059679164121973,1.0602853347165822,1.0604349576458711,0.000424890603153145,0.00042923503151312374,0.0004153207796921993,7.56,0.6207,0.6223,0.6145,-0.00047086650364169813,-0.000245395699519646,-0.0003404662994193064,0.0002590161383499989,-0.0003474881077250025,0.00041626946450579183,0.00010743394012524554,-0.00020879626303149657,-0.00013064530974826738,-0.023394212919969348,-0.06691868049346628,-0.03149244423422681,-5.662738123479727e-05,0.00031931039971955233,4.8187922421227825e-06
